names,Event,Depth,Lat,Lon,Julian,Cruise,diatom,phaeocystis,dinoflagellate
B6E3260M241020173dr.txt,32,60,75.18324,17.5334,191,Summer_2017,NA,NA,NA
B7E35728M21120172dr.txt,357,28,76.0001,16.83342,215,Summer_2017,NA,NA,NA
B7E3573M21120172dr.txt,357,3,76.0001,16.83342,215,Summer_2017,NA,NA,NA
B7E35740M21120172dr.txt,357,40,76.0001,16.83342,215,Summer_2017,NA,NA,NA
B7E35750M21120172dr.txt,357,50,76.0001,16.83342,215,Summer_2017,NA,NA,NA
B8E4710M251020171dr.txt,47,10,76.36644,16.6652,192,Summer_2017,NA,NA,NA
B8E4718M251020171dr.txt,47,18,76.36644,16.6652,192,Summer_2017,NA,NA,NA
B8E4725M251020172dr.txt,47,25,76.36644,16.6652,192,Summer_2017,NA,NA,NA
B8E4735M251020172dr.txt,47,35,76.36644,16.6652,192,Summer_2017,NA,NA,NA
B8E473M251020171dr.txt,47,3,76.36644,16.6652,192,Summer_2017,NA,NA,NA
B9E6918M261020171dr.txt,69,18,75.99998,13.6667,194,Summer_2017,NA,NA,NA
B9E6930M261020171dr.txt,69,30,75.99998,13.6667,194,Summer_2017,NA,NA,NA
B9E693M261020171dr.txt,69,3,75.99998,13.6667,194,Summer_2017,NA,NA,NA
B9E6950M261020172dr.txt,69,50,75.99998,13.6667,194,Summer_2017,NA,NA,NA
UW23M311020172dr.txt,1000,3,81.317195,29.2703067,206,Summer_2017,NA,NA,NA
UW3M301020171dr.txt,1001,3,77.48,31.73,200,Summer_2017,NA,NA,NA
B13E47020Mapril101020182dr.txt,470,20,74.61666667,30.05,116,Spring_2018,NA,NA,NA
B13E47040Mapril101020182dr.txt,470,40,74.61666667,30.05,116,Spring_2018,NA,NA,NA
B13E4705Mapril111020181dr.txt,470,5,74.61666667,30.05,116,Spring_2018,NA,NA,NA
B13p1E48915Mapril151020182dr.txt,489,15,75.83333333,30,117,Spring_2018,NA,NA,NA
B13p1E4895Mapril101020181dr.txt,489,5,75.83333333,30,117,Spring_2018,NA,NA,NA
B14E51216Mapril151020182dr.txt,512,16,76.48333333,29.86666667,118,Spring_2018,NA,NA,NA
B14E51230Mapril171020182dr.txt,512,40,76.48333333,29.86666667,118,Spring_2018,NA,NA,NA
B14E5125Mapril11120181dr.txt,512,5,76.48333333,29.86666667,118,Spring_2018,NA,NA,NA
B7E62030Mapril151020182dr.txt,620,30,76.01666667,16.81666667,122,Spring_2018,NA,NA,NA
B7E6203Mapril101020182dr.txt,620,3,76.01666667,16.81666667,122,Spring_2018,NA,NA,NA
B7E62050Mapril121020181dr.txt,620,50,76.01666667,16.81666667,122,Spring_2018,NA,NA,NA
HH63E49215Mapril161020181dr.txt,492,15,76.2,30.08333333,117,Spring_2018,NA,NA,NA
